simulacion_id,pm_reassign,pm_cooperations,pm_take_chance,problems_count,cooperation_prob,completed_tasks,total_tasks,workers_number,resting_rate,collab_rate,pm_risky,workers_friendship,workers_motivation,workers_lazzyness,workers_psolv,time
1,0,5,69,29,0.01201747933008172,46,50,4,0.95825,0.00075,-0.1277850000000004,0.9253667939400168,125.83575,0.7327192766870276,57.97162500000001,1680
2,0,0,20,34,0.8033034227447282,48,50,4,0.95525,0.0,-0.26546499999999995,0.9253667939400168,125.81125,0.7327192766870276,60.850649375,2110
3,0,4,20,29,0.012264895152397488,46,50,4,0.95775,0.00025,-0.27235999999999994,0.9253667939400168,126.11775,0.7327192766870276,62.27405625000001,2180
4,0,0,19,28,0.7079926062702637,49,50,4,0.95625,0.0,-0.229905,0.9253667939400168,125.78325,0.7327192766870276,63.64766677500001,2060
5,0,12,50,34,0.020033506543455697,46,50,4,0.95625,0.0005,-0.2288650000000004,0.9253667939400168,125.95475,0.7327192766870276,68.043969590625,1930
6,0,0,41,0,0.8633635724114739,50,50,4,0.8422330097087378,0.0,0.15087378640776658,0.9253667939400168,123.89563106796116,0.7327192766870276,68.38090875,1020
7,0,0,45,1,0.3593547454933209,50,50,4,0.8017241379310345,0.0,0.2885057471264368,0.9253667939400169,123.00862068965517,0.7327192766870276,68.38090875,860
8,0,0,19,0,0.907515788959306,50,50,4,0.8847517730496454,0.0,-0.09092198581560283,0.9253667939400168,124.63475177304964,0.7327192766870276,68.38090875,1400
9,0,0,23,0,0.8737139415083159,50,50,4,0.8645833333333334,0.0,0.09704166666666664,0.9253667939400168,123.86875,0.7327192766870276,68.38090875000002,1190
10,0,0,53,0,0.9698846181250816,50,50,4,0.8630434782608696,0.0,0.22704347826086912,0.9253667939400168,124.02608695652174,0.7327192766870276,68.38090875,1140
11,0,3,50,11,0.013566654124671555,48,50,4,0.97225,0.00025,-0.2982700000000005,0.9253667939400168,126.40825,0.7327192766870276,69.01832022750001,1800
12,0,0,26,8,0.7671432928709004,50,50,4,0.8701456310679612,0.0,-0.2142233009708738,0.9253667939400168,123.78276699029126,0.7327192766870276,69.07982484375,1960
13,0,0,28,10,0.9066717556010445,50,50,4,0.8238993710691824,0.0,-0.09034591194968554,0.9253667939400166,122.6996855345912,0.7327192766870276,69.73617637676888,1580
14,0,0,30,12,0.9526129811300368,50,50,4,0.8470744680851063,0.0,-0.10773936170212765,0.9253667939400168,123.14893617021276,0.7327192766870277,71.81034094702461,1860
15,0,0,60,11,0.7370932525506054,50,50,4,0.8363095238095238,0.0,0.05562499999999965,0.9253667939400168,122.9702380952381,0.7327192766870276,74.0920525014551,1670
16,0,15,64,5,0.030818863073558984,49,50,4,0.9785,0.00025,-0.1572900000000004,0.9253667939400168,126.58675,0.7327192766870276,75.95438741789064,1280
17,0,0,19,9,0.8993354742305467,50,50,4,0.7839805825242718,0.0,-0.08135922330097088,0.9253667939400168,120.95388349514563,0.7327192766870276,77.56831484373743,990
18,0,0,31,5,0.8959090316344211,50,50,4,0.7806603773584906,0.0,-0.036415094339622645,0.9253667939400169,122.23584905660377,0.7327192766870276,79.01824489034769,1050
19,0,0,44,4,0.986451633604467,50,50,4,0.825,0.0,0.07633333333333332,0.9253667939400168,122.69583333333334,0.7327192766870276,80.92425756228498,890
20,0,0,45,8,0.7103106306129333,50,50,4,0.7995495495495496,0.0,0.18067567567567525,0.9253667939400168,122.38963963963964,0.7327192766870276,81.14830218316584,1020
21,0,0,41,0,0.770903833678215,50,50,4,0.878731343283582,0.0,0.012798507462686171,0.9253667939400168,124.36753731343283,0.7327192766870276,81.14830218316584,1330
22,0,0,22,0,0.0397926259004167,50,50,4,0.8333333333333334,0.0,-0.16205555555555554,0.9253667939400168,123.49444444444444,0.7327192766870276,81.14830218316584,890
23,0,0,22,0,0.8953827999629088,50,50,4,0.8461538461538461,0.0,-0.14057692307692307,0.9253667939400168,123.85336538461539,0.7327192766870276,81.14830218316584,1030
24,0,0,26,0,0.9367606720280162,50,50,4,0.8383838383838383,0.0,-0.052424242424242436,0.9253667939400166,123.26767676767676,0.7327192766870276,81.14830218316584,980
25,0,0,60,0,0.8434546845053794,50,50,4,0.8376288659793815,0.0,0.30742268041237075,0.9253667939400168,123.30154639175258,0.7327192766870276,81.14830218316584,960
26,2,5,65,26,0.008087109673294984,47,50,4,0.962,0.0005,-0.24734500000000048,0.9253667939400168,125.89975,0.7327192766870276,83.46711322324762,1730
27,0,3,43,34,0.019183717206805645,49,50,4,0.96325,0.0,-0.40721500000000016,0.9253667939400168,126.16725,0.7327192766870276,86.20420692110063,2160
28,1,10,29,26,0.031189420587668937,49,50,4,0.96575,0.0005,-0.290875,0.9253667939400168,125.907,0.7327192766870276,90.55406823842128,2140
29,0,0,27,34,0.857537901032204,50,50,4,0.7604166666666666,0.0,-0.12479166666666669,0.9253667939400168,120.43154761904762,0.7327192766870276,96.5983306172219,1560
30,0,0,65,29,0.7276303575564586,50,50,4,0.8015873015873016,0.0,0.06777777777777737,0.9253667939400168,121.63756613756614,0.7327192766870276,104.5506180469851,1750
31,0,0,70,30,0.6903116387534051,50,50,5,0.9623999999999999,0.0,-0.09919000000000039,0.4581154180214774,124.5056,0.7265646696880971,101.24128749249999,1610
32,0,0,21,26,0.8033034227447282,50,50,5,0.7951219512195122,0.0,-0.11905487804878048,0.4581154180214775,120.20121951219512,0.7265646696880971,106.67946846154727,1430
33,0,0,23,31,0.7297872980165621,50,50,5,0.7894117647058825,0.0,-0.10676470588235293,0.45811541802147737,120.07882352941178,0.7265646696880971,112.39880185164064,1410
34,0,0,33,39,0.7079926062702637,50,50,5,0.7443037974683545,0.0,-0.03370253164556962,0.4581154180214774,118.62151898734177,0.7265646696880971,118.93694691112087,1360
35,0,0,47,36,0.9526937594663129,50,50,5,0.7424657534246576,0.0,0.1452739726027393,0.4581154180214775,119.03424657534246,0.7265646696880971,126.67702435447464,1450
36,0,0,32,1,0.8633635724114739,50,50,5,0.7578947368421053,0.0,0.2757017543859645,0.4581154180214774,120.77543859649123,0.7265646696880971,130.611272222669,560
37,0,0,26,0,0.3593547454933209,50,50,5,0.8333333333333334,0.0,0.04743589743589741,0.4581154180214774,121.82307692307693,0.7265646696880971,131.55216042508675,770
38,0,0,15,0,0.907515788959306,50,50,5,0.8543478260869566,0.0,-0.0796195652173913,0.4581154180214774,122.34782608695652,0.7265646696880971,131.55216042508675,910
39,0,0,28,1,0.8737139415083159,50,50,5,0.790625,0.0,0.146953125,0.4581154180214774,121.09375,0.7265646696880971,131.55216042508675,630
40,0,0,34,0,0.9698846181250818,50,50,5,0.7971014492753623,0.0,0.1821014492753619,0.4581154180214774,121.16231884057972,0.7265646696880971,131.55216042508675,680
41,0,0,53,15,0.2511693706082729,50,50,5,0.8376623376623377,0.0,0.10568181818181775,0.4581154180214774,121.3974025974026,0.7265646696880971,131.55216042508675,1510
42,0,0,29,12,0.7671432928709006,50,50,5,0.808,0.0,-0.06795999999999999,0.4581154180214774,120.392,0.7265646696880971,132.61968583884865,1240
43,0,0,19,9,0.9066717556010444,50,50,5,0.808695652173913,0.0,-0.005130434782608705,0.4581154180214774,120.77565217391304,0.7265646696880971,133.89383809409034,1050
44,0,0,32,17,0.9526129811300367,50,50,5,0.8291666666666667,0.0,-0.12229166666666666,0.4581154180214775,121.15555555555557,0.7265646696880971,137.86116711969967,1430
45,0,0,39,17,0.7370932525506054,50,50,5,0.7533980582524272,0.0,0.13320388349514525,0.4581154180214775,119.4233009708738,0.7265646696880971,141.4718003693916,1010
46,0,0,39,13,0.8742923425808861,50,50,5,0.774468085106383,0.0,0.16234042553191447,0.45811541802147737,119.62340425531916,0.7265646696880971,146.15492606558698,710
47,0,0,14,9,0.8993354742305468,50,50,5,0.7728395061728395,0.0,-0.1206172839506173,0.4581154180214774,120.27407407407408,0.7265646696880971,149.8894911290979,770
48,0,0,16,8,0.8959090316344211,50,50,5,0.7734939759036145,0.0,-0.037409638554216876,0.4581154180214775,119.66506024096387,0.7265646696880971,153.90089274911028,780
49,0,0,15,5,0.986451633604467,50,50,5,0.8021739130434782,0.0,-0.08228260869565218,0.4581154180214774,120.94347826086955,0.7265646696880971,155.19387066053088,880
50,0,0,62,6,0.7103106306129333,50,50,5,0.7761904761904762,0.0,0.3454166666666663,0.45811541802147737,120.56190476190477,0.7265646696880971,159.04019434938226,830
51,0,0,51,0,0.770903833678215,50,50,5,0.8136986301369864,0.0,0.3763698630136983,0.4581154180214775,121.45753424657534,0.7265646696880971,160.3449736033201,720
52,0,0,20,0,0.0397926259004167,50,50,5,0.8418604651162791,0.0,-0.08162790697674419,0.4581154180214774,122.00930232558139,0.7265646696880971,160.3449736033201,850
53,0,0,27,1,0.8953827999629088,50,50,5,0.7999999999999999,0.0,0.07388888888888888,0.4581154180214774,120.40634920634922,0.7265646696880971,160.3449736033201,620
54,0,0,19,2,0.9367606720280162,50,50,5,0.72,0.0,0.06419999999999998,0.4581154180214774,119.26799999999999,0.7265646696880971,160.3449736033201,490
55,0,0,58,1,0.8434546845053794,50,50,5,0.8488888888888889,0.0,0.26872222222222186,0.4581154180214774,121.44444444444444,0.726564669688097,160.3449736033201,890
56,0,0,58,34,0.1816743047119825,50,50,5,0.7639097744360903,0.0,0.1255263157894733,0.4581154180214774,119.28571428571429,0.7265646696880971,166.63432310728373,1200
57,0,0,23,29,0.3548916759794077,50,50,5,0.7722222222222223,0.0,-0.13493055555555555,0.4581154180214775,119.74444444444445,0.7265646696880971,179.22673044699863,1430
58,0,0,44,37,0.9461766806587844,50,50,5,0.7488721804511279,0.0,-0.05394736842105263,0.4581154180214774,118.83609022556392,0.7265646696880971,191.99360568949484,1240
59,0,0,39,35,0.857537901032204,50,50,5,0.7673758865248227,0.0,-0.01297872340425532,0.4581154180214774,119.42127659574469,0.7265646696880971,202.22097282131242,1240
60,0,0,46,33,0.7276303575564586,50,50,5,0.7986928104575164,0.0,0.07709150326797345,0.4581154180214774,120.14901960784313,0.7265646696880971,216.25238995062915,1520
61,0,0,49,47,0.6903116387534051,34,50,5,0.9528,0.0,-0.0644000000000004,0.8959659883670748,124.0714,0.3458070663888669,29.061980000000002,830
62,0,0,23,43,0.8033034227447282,34,50,5,0.953,0.0,-0.10540999999999999,0.8959659883670748,124.05539999999999,0.3458070663888669,29.090000000000003,850
63,0,0,25,84,0.7297872980165621,18,50,5,0.8852000000000001,0.0,-0.238445,0.8959659883670748,122.36160000000001,0.3458070663888669,30.284325825,1800
64,0,0,35,52,0.7079926062702637,36,50,5,0.9512,0.0,-0.15721000000000002,0.8959659883670748,124.2078,0.3458070663888669,31.935564178875012,1000
